cmip,model,ecs,brient2016c,cox2018,lipat2017,sherwood2014_D,sherwood2014,sherwood2014_S,su2014,tian2015,tian2015_ITCZ,volodin2008,zhai2015
5,ACCESS1.0,3.83,-1.59,0.2,-33.7,0.45,0.84,0.39,0.94,14.14,0.54,-26.16,-2.32
5,ACCESS1.3,3.53,-1.59,0.15,-34.32,0.54,0.9,0.36,0.93,21.05,0.64,-20.21,-2.11
5,BNU-ESM,3.92,-1.39,0.14,-33.38,0.35,0.75,0.41,1.11,22.56,1.47,-11.91,
5,CCSM4,2.94,-0.09,0.18,-37.64,0.39,0.75,0.37,,24.32,1.17,-9.88,0
5,CNRM-CM5,3.25,0.29,0.15,-34.53,0.38,0.71,0.33,1.04,14.54,1.5,-15.43,-0.4
5,CNRM-CM5.2,3.44,0.56,,-34.62,0.4,0.73,0.33,,15.83,1.44,-15.08,
5,CSIRO-Mk3.6.0,4.08,-1.57,0.2,-35.12,0.61,0.97,0.36,1,11.19,1.01,-11.53,-0.79
5,CanESM2,3.69,-0.72,0.16,-34.28,0.3,0.61,0.31,1,20,0.69,-21.21,-1.18
5,FGOALS-g2,3.38,0.33,0.05,-30.75,0.29,0.79,0.51,1.26,24.61,0.93,-12.06,-0.54
5,GFDL-CM3,3.97,-0.26,0.32,-35.03,0.33,0.67,0.34,1.01,18.05,1.43,-14.67,-2.33
5,GFDL-ESM2G,2.39,-0.8,0.19,-36.47,0.3,0.76,0.45,0.93,18.6,0.74,-17.63,-2.43
5,GFDL-ESM2M,2.44,-0.34,0.15,-35.95,0.25,0.68,0.43,0.94,17.43,1.36,-17.75,-2.64
5,GISS-E2-H,2.31,1.18,0.1,-33.87,0.32,0.61,0.29,0.71,21.7,2.58,3.57,-0.27
5,GISS-E2-R,2.11,0.89,0.11,-34.14,0.32,0.6,0.28,0.71,12.88,2.13,2.52,-0.21
5,HadGEM2-ES,4.61,-2.45,0.26,-34.58,0.43,0.81,0.38,0.95,11.54,0.87,-24.69,-1.54
5,IPSL-CM5A-LR,4.13,-0.96,0.21,-32.13,0.41,0.86,0.45,0.95,11.58,0.53,-34.04,-1.08
5,IPSL-CM5A-MR,4.12,-1.18,0.15,-33.61,0.48,0.92,0.44,0.98,5.73,0.36,-32.9,-0.95
5,IPSL-CM5B-LR,2.6,-0.5,0.16,-32.02,0.25,0.67,0.41,0.89,21.25,0.92,-27.02,-1.9
5,MIROC-ESM,4.67,-0.99,0.22,-31.87,0.33,0.89,0.56,0.95,0.94,-0.54,-27.09,0.07
5,MIROC5,2.72,0.27,0.22,-35.51,0.36,0.78,0.42,1.01,4.9,0.4,-10.99,0.41
5,MPI-ESM-LR,3.63,-0.35,0.15,-34.67,0.41,0.86,0.45,1.07,3.16,0.24,-17.96,0.07
5,MPI-ESM-MR,3.46,-0.49,0.16,-34.33,0.42,0.87,0.45,1.04,6.1,0.3,-18.92,-0.04
5,MPI-ESM-P,3.45,-0.68,,-34.36,0.41,0.87,0.46,,-0.23,0.13,-17.97,0.06
5,MRI-CGCM3,2.6,-1.08,0.09,-35.01,0.37,0.78,0.41,1.04,34.02,2.04,-11.08,0.4
5,NorESM1-M,2.8,-0.74,0.13,-37.44,0.44,0.82,0.38,1.07,26.23,0.65,-7.13,0.51
5,BCC-CSM1.1,2.83,-0.11,0.18,-34.25,0.37,0.78,0.41,1.15,30.84,1.34,-8.77,0.41
5,BCC-CSM1.1(m),2.86,-0.46,0.13,-36.36,0.34,0.74,0.4,1.19,43.64,2.69,-7.56,0.66
5,INM-CM4,2.08,-0.18,0.07,-36.43,0.19,0.52,0.33,0.84,28.16,1.89,-14.52,0.75
